name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Aruba	Arubo,أروبا,Аруба	relation	1231749	boundary	administrative	-69.9804237	12.5429999	6	0.631654542736479	""	""	""	Aruba	The Netherlands	nl	Aruba, Nederland	-70.2695876	12.2627779	-69.6612260	12.8230000	Q21203	en:Aruba	""
Curaçao	퀴라소,ኩራሳዎ,キュラソー,คูราเซา,កូរ៉ាកៅ,ເຄີເລັກຄາວ,Curacao,Curazao,Cwracao,I-Curaçao,Kirasao,Kiurasao,Kulasao,Kuracao,Kurakao,Kurakao nutome,كوراساو,کیوراکاؤ,کوراکائو,קוראסאו,Κουρασάο,Курасао,Кюрасаа,Кюрасао,ཀྱཱུར་ར་ཀོ,कुराकाओ,कुरॅको,क्यूरासाओ,કુરાકાઓ,కురాకవో,ಕುರಾಕಾವ್,குராகவ்,കുറാകാവോ,কুরাসাও,කුරකාවෝ,库拉索	relation	1216719	boundary	administrative	-68.9640919	12.1844999	6	0.611760430651991	""	""	""	Curaçao	The Netherlands	nl	Curaçao, Nederland	-69.3673494	11.7770000	-68.4413474	12.5920000	Q25279	nl:Curaçao	""
Willemstad	빌렘스타트,ウィレムスタッド,วิลเลมสตัด,Vilemstadas,Vilemstado,Villemştad,Willemstêd,ویلمسٹیڈ,يلمستاد,וילמסטאד,Βίλλεμσταντ,Вилемстад,Виллемстад,Вілемстад,Віллемстад,ვილემსტადი,विलेमश्टाड,威廉斯塔德	node	50033577	place	city	-68.9316546	12.1091242	16	0.509027171181511	""	Curaçao	""	Curaçao	The Netherlands	nl	Willemstad, Curaçao, Curaçao, Nederland	-68.9316546	12.1091242	-68.9316546	12.1091242	Q132679	nl:Willemstad (Curaçao)	""
Nederland	ሆላንድ,オランダ,네덜란드,ނެދަލޭންޑު,ประเทศเนเธอร์แลนด์,Alankomaat,An Ísiltír,Aynacha Jach'a Markanaka,Bas Payis,Belanda,Eben Eyong,ENetherlands,Hà Lan,Herbehereak,Holanda,Holandija,Holandsko,Hôlanê,Holani,Holannda,Holenda,Holland,Hollanda,Hollandi,Hollandia,Hōrana,IDashi,Iseldiryow,Izelvroioù,Kéyah Wóyahgo Siʼánígíí,Koninkrijk der Nederlanden,Królestwo Niderlandów,Logos Bascios,Na Tìrean Ìsle,Nẹ́dálándì,Nedän,Nederlân,Nederländerna,Nederlandia,Nederlando,Netherlands,Niderland,Nīderlande,Niderlandlar,Niðurlond,Niederlande,Nizozemska,Nizozemsko,Nyderlandai,Olaand,Olanda,Paesi Bassi,Pais Basse,Países Baixos,Países Bajos,Païses Basses,Països Baixos,Pajais Bass,Pajjiżi l-Baxxi,Pays-Bas,Peyiba,Țările de Jos,The Netherlands,Ubuholandi,Uholanzi,Urasuyu,Vuolleeatnamat,Walanda,Yn Çheer Injil,Yr Iseldiroedd,ہالینڈ,گوللاندىيە,هالنډ,هلند,هولندا,האלאנד,הולנד,Κάτω Χώρες,Нидерланд,Нидерландаш,Нидерландия,Нидерландлар,Нидерландсем,Нидерландтæ,Нидерландтар,Нидерландъяс,Нидерланды,Нидєрландꙑ,Нідерланди,Нідэрланды,Холандија,ནེ་དར་ལེནཌསི་,ཧོ་ལན།,Նիդերլանդներ,ნიდერლანდი,एम्सटर्डम,नीदरलैण्ड,नेदरलैंड्स,नेदरलँड्स,नेदरल्याण्ड्स,નેધરલેંડ,నెదర్లాండ్,ਨੀਦਰਲੈਂਡ,ನೆದರ್‍ಲ್ಯಾಂಡ್ಸ್,நெதர்லாந்து,നെതർലന്റ്സ്,নেদারল্যান্ডস,နယ်သာလန်နိုင်ငံ,නෙදර්ලන්තය,荷蘭	relation	2323309	boundary	administrative	5.5346073	52.2379890	4	0.461293122268603	""	""	""	""	The Netherlands	nl	Nederland	3.1330000	50.7500000	7.2170000	53.6830000	Q29999	nl:Koninkrijk der Nederlanden	""
Oranjestad	오랑예스타트,オラニエスタッド,Oranjestadas,Oranjestado,Oranjestêd,أورنجستاد,اورنجسٹیڈ,אורנייסטאד,Οράνιεστατ,Аран'естад,Оранестад,Ораньестад,Ораньєстад,Орањестад,ორანესტადი,ओरांजेश्टाड,奧拉涅斯塔德	node	50031810	place	town	-70.0356845	12.5268735	18	0.461014304747532	""	Aruba	""	Aruba	The Netherlands	nl	Oranjestad, Aruba, Aruba, Nederland	-70.0356845	12.5268735	-70.0356845	12.5268735	""	en:Oranjestad, Aruba	""
Sint Maarten	Saint Martin,Saint-Martin (État de),Sankta-Marteno Nederlanda,Sankt Martin (Land),Sint Maarten (Dutch part),Sint Maarten (land),Sint Martenas,Svätý Martin,Sveti Martin (Nizozemska),Άγιος Μαρτίνος (Ολλανδία),Синт-Мартен	relation	1231790	boundary	administrative	-63.1539331	17.9345000	6	0.453716508487006	""	""	""	Sint Maarten	The Netherlands	nl	Sint Maarten, Nederland	-63.3315389	17.8069828	-62.9390435	18.0639862	Q26273	nl:Sint Maarten (land)	""
Zakito	""	way	155581310	natural	water	-68.9582222	12.1133135	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Zakito, Curaçao, Nederland	-68.9611339	12.1112838	-68.9553082	12.1153409	""	""	""
Tanki Flip	""	way	25604974	natural	water	-70.0333956	12.5487941	16	0.35	""	""	""	Aruba	The Netherlands	nl	Tanki Flip, Aruba, Nederland	289.9659715	12.5483101	289.9672564	12.5492757	""	""	""
Supladó	""	way	313887450	natural	water	-69.0529326	12.2916679	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Supladó, Curaçao, Nederland	-69.0529867	12.2916073	-69.0528796	12.2917106	""	""	""
Suffisant	""	relation	7236138	boundary	administrative	-68.9213112	12.1513554	16	0.35	""	Suffisant	""	Curaçao	The Netherlands	nl	Suffisant, Curaçao, Nederland	-68.9303403	12.1438517	-68.9146179	12.1590775	""	""	""
Spaans Lagoen	""	way	98064356	natural	water	-69.9746645	12.4745024	16	0.35	""	""	""	Aruba	The Netherlands	nl	Spaans Lagoen, Aruba, Nederland	290.0229884	12.4688531	290.0288499	12.4801614	""	""	""
Salina Sint Marie	""	way	27192437	natural	water	-69.0571995	12.2057909	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Salina Sint Marie, Curaçao, Nederland	-69.0684258	12.1972854	-69.0507759	12.2141439	""	""	""
Salina Bird Sanctuary	""	relation	1406983	natural	water	-70.0433390	12.5861815	16	0.35	""	""	""	Aruba	The Netherlands	nl	Salina Bird Sanctuary, Aruba, Nederland	289.9549240	12.5847359	289.9581658	12.5876208	""	""	""
Rooi Indian	""	way	485255189	natural	water	-68.9019503	12.1469587	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Rooi Indian, Curaçao, Nederland	-68.9022770	12.1466743	-68.9016011	12.1473351	""	""	""
Punda	""	relation	7237830	boundary	administrative	-68.9322695	12.1040452	16	0.35	""	Punda	""	Curaçao	The Netherlands	nl	Punda, Curaçao, Nederland	-68.9356731	12.1011227	-68.9232812	12.1069630	""	""	""
Pond turns pink ones in a while	""	way	491914802	natural	water	-68.8608985	12.0723303	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Pond turns pink ones in a while, Curaçao, Nederland	291.1389560	12.0721733	291.1393275	12.0726494	""	""	""
